address,balance_wei
0x8d54D2A8819daCec5199B2Da07e7100d120da1b3,1168737532776510000000
0x41fFA089527Ea8A92b7F792cD193249f2DE0CeCF,1107898803088455000000
0xb92E2AB03af9Fd59cbA1bDc9B37D6EFeb9325134,1105477999405552000000
0xd64207a4801db17e74BFd62D8422bFbb86AaE0BD,1089828603873945000000
0x6Fe12C3F330cde204130492CD2d32b40d0b9D433,1040185798556330000000
0xB8dfc35Ca4D596c85D85A9D76C7C1d657c5FbD0F,1000000000000000000000
0xb67872eD604F3AF8F8D4158E7bac31b399c211B1,973663257649453000000
0x1CFb1B0F4a463A1722156075f4525EecFf8783c7,937959323368631000000
0xFc4D3c3363694BEF3BF94D9B11Ba82e07b30A8eb,814396096644555000000
0x48b5bbe0441b10188453138a28F792236991B668,735571936754389000000
0x0f6547E149FBc1d6E515BA15199CB6848ca43517,689200000000000000000
0x954910bf12382c2DE06db4f278E9CB457492B34d,656862240219510000000
0x5b32A4df9760efA3e948d22E5FF302e45172E564,576929066536619000000
0xc490297bF66c05DB966C68f6c7946aBb897faa40,547032998415957000000
0x67F63Dbb12B4b7dDc6e7F5E87bEA0934eA0eff8d,517081074404922000000
0x6b2D218BD76924915019a9C9B238Bdc8DD388073,500934071234356000000
0xCF2A633e7D8487aC9837f3E34B2C5d819af60341,498807579741080853000
0x28f4c2179D24151555f4e1282d0f05E123A53882,370292179485490000000
0x2948cE7b509D219216E3ad0Abde684AC88a3C4ed,319153684200632000000
0x9ef8814b2841df0A94728A7114d7869395394a75,303434061290633000000
0xbf398D71960E04557Dfc8e1dA9989D5dE3E8b16F,300000000000000000000
0x874C88F91F06A369B8E7f809F995226Dc9900E29,203991817906023490008
0xEbE120f73E62BcD5d6196AC9D8024e809e0145Cb,200166163507733000000
0xc8A7ADa46456B91384B903C170f3899AE9517A3b,197500839999999706000
0xe51eEc7508191C58F48A588667b0172aA3e6c3Da,172183978289033000000
0x31C5348A287D691bbbC3ff30DB45e83067C1bD24,148067560227946000000
0x9DA6A966da5bAe2d521cB1198C3c024664C24B10,114314894167049000000
0x0414342f472c88F27947ddFe2244f3F5B9665533,100000000000000000000
0xf83C4C4622184183C47e1F17576D8f1500C7Afde,93205262685597000000
0x4A9EFA68144f62AC29C1A6EfddB180e979040D18,91561525979299000000
0x3bB9D6b6bd537e24BCC02e1c253331F877e10a81,86973045405779000000
0x21Bfd77eB5E060e627b5B6721a0D775d5b05c022,70000420000000000000
0x3Ef589B1601193811bB090e627D55c7630Ec5210,52398895346000000000
0x2e5c56D4BD75E65998D70d6501684379BD229EA6,50000000000000000000
0xEB6c0Acf2b023212d6390652e1F517f00BB435BC,50000000000000000000
0x1D937bd1902FD33B116Ca71e2dDC61b963E103be,48987870440000000000
0xCCc310C480988D88b580DD7B8B767333DE65eC02,48213550025530000000
0x413D2152652c3B86b9F74DE8801EA8FB77e02C4D,41268076996481000000
0x06552957a1C907A3BC60dCD6298F0bEfd2708d4E,38788682095030000000
0x820406f9F23BcEBa3d29BFc9964fDB461ac1Fbdf,32739320938890000000
0xdbE8C163bAbdD6F0bB203bcAed2dd68fe19643Db,28750000000000000000
0xd8125508fe6759958b260da00E810548BBbDFf94,25211716954009000000
0x5248218bdE5f28203a5c39c510fabdC8e6d2F52a,24334037991033000000
0xDfA1C549c6fcdC19790ba91276ebC0f4D1816373,23808471504532000000
0x091795a0fcF850E3d326E71440eAf978556d8a06,23321325586921000000
0x665dD1bfd7a686A10C6EcB94ABC210146B823Fa5,19433726032774496000
0xD3E168472F899edF2FF85F632C9a7754120467D4,11187740660524000000
0x30078b0E0ba711d270b8f57aC3412ae829DA915E,11074406633445853000
0xC47E0ceF36255B7A1d084Eacf7161241A3DF78bd,10000000000000000000
0xE1A288e534d3B16d3E912950a9CE153B096eA07a,9797500000000000000
0x9D73DC3e4b88a09B40dE3aB365097c39ef3Fe9B5,6803031999998824000
0x4dC1f481925AfD10E3CAD1dF4c7EE59Dc7160ce4,5000000000000000000
0xb14A200Ad405Dd1f6fE6dF833F9705fc600bFCDF,2430726940259000000
0x249f7C7EeD3e1F7e93be31f0e5dC86cf5f299b77,1999963711999853000
0x2450105d84f3F6c9aB01920A8F75cC281DfB9E2c,1239375962512706000
0x818c1965E44A033115666F47DFF1752C656652C2,1000000000000000000
0x987ecADCFBdc9b5e1848f186D46169a829Dc3542,978915999999412000
0x6D44E184e55051848d1E8c6b5c5FFd4f304552E6,793045130951315917
0x9bC517a81FE67a8579D3cECf02F345fdEf55DaFc,545875157738000000
0x607aF303CBF7184548A5d4fEeC80932ab3D4f67d,388762740665853000
0xa978f232E35e41006e89040e8a69f57b6Bf25460,281241947650000000
0x5419e7a257c71CA80c490228723b7A16446e09C7,217637711998971000
0x284D2057b18E06148D9E417CA8EEA1b350f78AC7,124500233484000000
0x56c33ADDBD6Ea569642DBb75687c7e1c831B8A58,99978999999853000
0xC9Ca9243EeC42E6CD35f81694Ad8D3593Cb4a329,14794148465000000
0x454fbD7501381F7d8C95e0ebF923ca3d11E04EF6,13810537794000000
